UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,2,2020,29,4854850,2467793,2387057,1795191,1712228,384464,383651,36720,33613,174160,179219,7777,7069,69481,71277,1855739,1774495,413272,415277,58461,55342,201947,206813,14756,13927,1948045,1910606,1341047,1297672,357582,357341,20661,19848,168769,173908,5600,5255,54386,56582,1388223,1346986,379716,382285,35625,35096,192540,197406,11089,10696,519748,476451,454144,414556,26882,26310,16059,13765,5391,5311,2177,1814,15095,14695,467516,427509,33556,32992,22836,20246,9407,9407,3667,3231
R,2,2020,30,4727791,2399761,2328030,1751716,1669433,368150,371905,35583,32287,172514,180889,7863,6939,63935,66577,1807581,1727491,394250,400974,55691,52749,198126,206882,14186,13383,1898228,1871295,1313296,1271925,342214,346485,19818,19189,167327,175708,5698,5206,49875,52782,1356693,1317803,362096,369225,33627,33490,189267,198021,10689,10366,501533,456735,438420,397508,25936,25420,15765,13098,5187,5181,2165,1733,14060,13795,450888,409688,32154,31749,22064,19259,8859,8861,3497,3017
R,2,2020,31,4578029,2319283,2258746,1703287,1626646,341706,349768,34323,30851,172800,182356,7533,6869,59634,62256,1755122,1680855,365394,376487,53206,50061,197126,207036,13634,12910,1831735,1818156,1276442,1242864,317043,325337,18761,18106,167847,177311,5494,5184,46148,49354,1316412,1285717,334658,346047,31523,31655,188700,198518,10340,10013,487548,440590,426845,383782,24663,24431,15562,12745,4953,5045,2039,1685,13486,12902,438710,395138,30736,30440,21683,18406,8426,8518,3294,2897
R,2,2020,32,4466447,2263920,2202527,1678781,1598284,321899,331606,33044,29944,166421,176365,7533,6730,56242,59598,1727495,1650245,344058,356802,51020,48532,189480,200051,13495,12665,1781786,1769400,1255187,1220436,298470,307987,17849,17405,161653,171662,5423,5056,43204,46854,1292365,1261188,314830,327267,29848,30332,181388,192018,10161,9783,482134,433127,423594,377848,23429,23619,15195,12539,4768,4703,2110,1674,13038,12744,435130,389057,29228,29535,21172,18200,8092,8033,3334,2882
R,2,2020,33,4413340,2233451,2179889,1667265,1590209,309132,322323,32418,29298,163984,174317,7419,6699,53233,57043,1713583,1639759,329510,346313,49859,47869,185858,196759,12939,12266,1755254,1749256,1246572,1214126,286179,298987,17278,16804,159241,169820,5279,4978,40705,44541,1281813,1252635,300964,317255,28923,29646,177965,189036,9679,9427,478197,430633,420693,376083,22953,23336,15140,12494,4743,4497,2140,1721,12528,12502,431770,387124,28546,29058,20936,18223,7893,7723,3260,2839
R,2,2020,34,4458250,2253431,2204819,1690658,1615370,306235,320925,32259,29500,164840,176607,7524,6823,51915,55594,1735621,1663590,325960,343622,49598,47681,185977,198792,13102,12568,1768191,1769491,1263479,1234653,283194,297635,16632,16818,160143,172022,5354,5201,39389,43162,1297363,1271903,297392,314559,28125,29515,178144,190987,9754,9807,485240,435328,427179,380717,23041,23290,15627,12682,4697,4585,2170,1622,12526,12432,438258,391687,28568,29063,21473,18166,7833,7805,3348,2761
R,2,2020,35,4412775,2219523,2193252,1669189,1608507,296508,316068,31494,29202,165036,178644,7276,6569,50020,54262,1712531,1655493,315028,337641,48481,47324,185533,200641,12765,12166,1742283,1759220,1248465,1228472,274329,293209,16371,16501,160337,174214,5129,4889,37652,41935,1280853,1264641,287462,309035,27561,29043,177770,193023,9458,9366,477240,434032,420724,380035,22179,22859,15123,12701,4699,4430,2147,1680,12368,12327,431678,390852,27566,28606,20920,18281,7763,7618,3307,2800
R,2,2020,36,4314073,2163914,2150159,1631101,1577762,285654,308163,30892,28622,161108,176274,7116,6590,48043,52748,1672643,1623403,303338,328643,47361,46741,180933,197616,12362,12177,1699904,1722920,1221701,1203663,264333,285652,15902,16045,156618,172001,5101,4951,36249,40608,1252820,1238604,276838,300686,26869,28586,173418,190185,9230,9382,464010,427239,409400,374099,21321,22511,14990,12577,4490,4273,2015,1639,11794,12140,419823,384799,26500,27957,20492,18155,7515,7431,3132,2795
R,2,2020,37,4390917,2198902,2192015,1661736,1611731,289138,314123,31529,29201,160895,177276,7207,6774,48397,52910,1703587,1657368,306814,334774,48472,47642,180564,198499,12583,12346,1722969,1752383,1241362,1226511,267437,290896,16228,16350,156295,172748,5159,5052,36488,40826,1272657,1261480,279886,306074,27555,29209,172986,190844,9429,9526,475933,439632,420374,385220,21701,23227,15301,12851,4600,4528,2048,1722,11909,12084,430930,395888,26928,28700,20917,18433,7578,7655,3154,2820
R,2,2020,38,4304792,2149715,2155077,1630253,1587890,281762,309013,29927,28028,154142,172945,7060,6373,46571,50828,1670410,1631682,298680,328988,46606,45942,172885,193034,12176,11800,1690296,1723889,1224644,1209584,260790,286566,15260,15517,149656,168460,5024,4682,34922,39080,1254504,1243087,272659,301219,26391,27930,165453,185558,9047,9001,459419,431188,405609,378306,20972,22447,14667,12511,4486,4485,2036,1691,11649,11748,415906,388595,26021,27769,20215,18012,7432,7476,3129,2799
R,2,2020,39,4360482,2178029,2182453,1653974,1607381,289504,318412,30592,28792,150284,170646,7151,6304,46524,50918,1694042,1651291,306504,338458,47292,46903,169023,190578,12389,11720,1706961,1743851,1237404,1222418,268432,295420,15633,16092,145624,166158,5040,4657,34828,39106,1267134,1255896,280329,310046,26785,28738,161400,183135,9199,9026,471068,438602,416570,384963,21072,22992,14959,12700,4660,4488,2111,1647,11696,11812,426908,395395,26175,28412,20507,18165,7623,7443,3190,2694
R,2,2020,40,4295680,2151020,2144660,1633489,1578171,286862,314987,29986,27815,149192,168447,6714,6231,44777,49009,1672147,1620252,303033,334265,46502,45411,166870,187635,11754,11471,1687378,1714802,1223806,1200626,265855,292511,15168,15430,144760,164107,4669,4653,33120,37475,1252151,1232550,276975,306416,26071,27731,159535,180383,8638,8855,463642,429858,409683,377545,21007,22476,14818,12385,4432,4340,2045,1578,11657,11534,419996,387702,26058,27849,20431,17680,7335,7252,3116,2616
R,2,2020,41,4022876,2001333,2021543,1523270,1489112,263795,294949,27449,26174,139544,160251,6022,5631,41253,45426,1558709,1528124,278667,312459,42741,42826,155945,178094,10522,10386,1574993,1616068,1145637,1133166,244802,273814,14203,14434,135426,156047,4290,4113,30635,34494,1171661,1162558,255098,286342,24386,25958,149193,171167,7833,7930,426340,405475,377633,355946,18993,21135,13246,11740,4118,4204,1732,1518,10618,10932,387048,365566,23569,26117,18355,16868,6752,6927,2689,2456
R,2,2020,42,4035467,2005456,2030011,1534204,1502766,260431,292279,27860,26571,136591,158159,6021,5658,40349,44578,1568813,1540867,274809,309439,43119,43205,152569,175545,10419,10349,1574263,1617721,1151539,1139612,241897,271371,14365,14796,132414,153952,4272,4177,29776,33813,1176767,1168263,251676,283525,24509,26360,145794,168713,7733,7944,431193,412290,382665,363154,18534,20908,13495,11775,4177,4207,1749,1481,10573,10765,392046,372604,23133,25914,18610,16845,6775,6832,2686,2405
R,2,2020,43,3895504,1931937,1963567,1476109,1452897,248560,280376,26804,25326,136510,157386,5651,5317,38303,42265,1509082,1488873,261783,296363,41333,41330,151796,174053,9969,9842,1514799,1560556,1105379,1096924,230729,260284,13906,14149,132431,153308,4025,3875,28329,32016,1129466,1123892,239606,271626,23670,25327,145282,167358,7421,7506,417138,403011,370730,355973,17831,20092,12898,11177,4079,4078,1626,1442,9974,10249,379616,364981,22177,24737,17663,16003,6514,6695,2548,2336
R,2,2020,44,3885057,1928323,1956734,1471972,1447208,248588,279826,26497,25276,139272,159047,5421,5216,36573,40161,1503372,1481439,261279,294739,40645,40609,153789,174984,9394,9441,1514398,1556296,1103379,1092741,231179,260155,13631,14053,135285,154972,3897,3860,27027,30515,1126296,1118518,239682,270655,23184,24816,147508,168495,7050,7241,413925,400438,368593,354467,17409,19671,12866,11223,3987,4075,1524,1356,9546,9646,377076,362921,21597,24084,17461,15793,6281,6489,2344,2200
R,2,2020,45,3947690,1962238,1985452,1505048,1477145,249597,281072,26587,25215,140626,158121,5553,5008,34827,38891,1534679,1510126,261392,295369,40360,40377,154470,173512,9501,9004,1549221,1585630,1135246,1121409,233163,262404,13681,14107,136779,154253,4051,3688,26301,29769,1157405,1146366,241369,272551,23098,24824,148659,167492,7237,6915,413017,399822,369802,355736,16434,18668,12906,11108,3847,3868,1502,1320,8526,9122,377274,363760,20023,22818,17262,15553,5811,6020,2264,2089
R,2,2020,46,3808910,1881131,1927779,1440839,1431435,239954,273975,25065,24526,136850,155822,5039,4914,33384,37107,1469206,1462746,251088,287494,38332,39059,150266,170602,8797,8863,1496701,1546778,1096380,1092201,224737,256226,13091,13875,133391,152103,3731,3658,25371,28715,1117679,1116163,232394,265958,22372,24393,144931,164844,6807,6839,384430,381001,344459,339234,15217,17749,11974,10651,3459,3719,1308,1256,8013,8392,351527,346583,18694,21536,15960,14666,5335,5758,1990,2024
R,2,2020,47,3954903,1950886,2004017,1496424,1491510,251697,287187,25806,25007,138300,158067,5083,4940,33576,37306,1524863,1522964,262448,300550,39571,40094,151794,172762,8848,8872,1563948,1619452,1149243,1148817,236649,269476,13683,14254,134754,154302,3803,3666,25816,28937,1170870,1172900,244171,279115,23498,25262,146451,167003,6836,6902,386938,384565,347181,342693,15048,17711,12123,10753,3546,3765,1280,1274,7760,8369,353993,350064,18277,21435,16073,14832,5343,5759,2012,1970
R,2,2020,48,4120844,2035577,2085267,1582397,1573345,256252,292167,25529,25168,133235,152355,5112,4767,33052,37465,1610298,1604953,266782,305334,39399,40767,146305,166807,8843,8778,1658982,1710818,1244389,1239331,241589,275150,13961,14704,129653,148783,3760,3587,25630,29263,1265772,1263742,249046,284630,24039,26265,140995,161335,6820,6889,376595,374449,338008,334014,14663,17017,11568,10464,3582,3572,1352,1180,7422,8202,344526,341211,17736,20704,15360,14502,5310,5472,2023,1889
R,2,2020,49,4335038,2140129,2194909,1673754,1667818,267298,305234,26399,25787,133502,152992,4948,5043,34228,38035,1702713,1699754,278252,318522,41064,42008,146612,167440,8926,9314,1760859,1821435,1333339,1335020,252465,288067,14675,15231,129975,149345,3674,3777,26731,29995,1355713,1359947,260309,297828,25483,27476,141315,161802,6939,7292,379270,373474,340415,332798,14833,17167,11724,10556,3527,3647,1274,1266,7497,8040,347000,339807,17943,20694,15581,14532,5297,5638,1987,2022
R,2,2020,50,4257158,2108764,2148394,1655977,1641575,260095,293418,25619,24912,129353,147811,5177,4990,32543,35688,1683491,1671449,270158,305544,39860,40515,141787,161400,9062,9019,1735508,1784534,1320804,1316392,245591,277121,14210,14920,125888,144233,3893,3825,25122,28043,1341787,1339637,252605,285914,24614,26684,136608,155927,7087,7164,373256,363860,335173,325183,14504,16297,11409,9992,3465,3578,1284,1165,7421,7645,341704,331812,17553,19630,15246,13831,5179,5473,1975,1855
R,2,2020,51,4023947,1986858,2037089,1560849,1559090,244389,276055,24518,23530,122942,140818,4476,4665,29684,32931,1585862,1586577,253311,287024,37947,38376,134178,153079,7970,8447,1642553,1699519,1251763,1257598,230769,260742,13793,14214,119877,137569,3337,3500,23014,25896,1270940,1278946,236948,268639,23792,25501,129580,148233,6202,6649,344305,337570,309086,301492,13620,15313,10725,9316,3065,3249,1139,1165,6670,7035,314922,307631,16363,18385,14155,12875,4598,4846,1768,1798
R,2,2020,52,3982494,1962557,2019937,1548956,1550858,244047,278393,23541,23570,112991,130951,4549,4520,28473,31645,1572922,1577187,252529,289021,36685,38089,123636,142425,7843,8274,1628528,1690091,1248916,1256100,230734,263264,13379,14519,110026,127910,3393,3438,22080,24860,1267251,1276546,236573,270899,23173,25630,119244,137767,6158,6567,334029,329846,300040,294758,13313,15129,10162,9051,2965,3041,1156,1082,6393,6785,305671,300641,15956,18122,13512,12459,4392,4658,1685,1707
R,2,2020,53,3997092,1963187,2033905,1554722,1570259,244252,280416,23213,23354,108855,124492,4564,4536,27581,30848,1577700,1595823,252547,290820,36236,37849,118957,135446,7938,8141,1640684,1714374,1264546,1284510,231542,265877,13572,14771,105989,121524,3467,3468,21568,24224,1282258,1304342,237274,273341,23480,25863,114692,130956,6316,6484,322503,319531,290176,285749,12710,14539,9641,8583,2866,2968,1097,1068,6013,6624,295442,291481,15273,17479,12756,11986,4265,4490,1622,1657
R,2,2020,54,4128289,2028089,2100200,1605215,1621293,255544,291189,24170,24166,110791,127849,4518,4568,27851,31135,1628393,1647101,263757,301323,37682,39092,120771,138918,7926,8256,1705531,1782081,1315621,1337241,242377,276447,14331,15452,107989,124792,3483,3566,21730,24583,1333449,1357348,248045,283739,24619,27055,116609,134303,6338,6648,322558,318119,289594,284052,13167,14742,9839,8714,2802,3057,1035,1002,6121,6552,294944,289753,15712,17584,13063,12037,4162,4615,1588,1608
R,2,2020,55,4368537,2139364,2229173,1705258,1735053,264152,303084,24719,25095,112155,129266,4566,4755,28514,31920,1729045,1761436,272281,313302,38879,40982,122308,140238,8007,8523,1821260,1910825,1419232,1450260,251522,288558,15162,16428,109320,126361,3570,3742,22454,25476,1437719,1471035,257156,295965,26084,29036,118118,135867,6448,6924,318104,318348,286026,284793,12630,14526,9557,8667,2835,2905,996,1013,6060,6444,291326,290401,15125,17337,12795,11946,4190,4371,1559,1599
R,2,2020,56,4339119,2114134,2224985,1692205,1740156,254473,293598,23966,24541,111211,130605,4286,4581,27993,31504,1715492,1766137,262232,303346,38187,40354,121118,141474,7690,8392,1816039,1921041,1424516,1468671,242299,279699,14992,16114,108600,127762,3322,3610,22310,25185,1442875,1489174,247765,286746,26135,28746,117216,137133,6195,6809,298095,303944,267689,271485,12174,13899,8974,8427,2611,2843,964,971,5683,6319,272617,276963,14467,16600,12052,11608,3902,4341,1495,1583
R,2,2020,57,4341587,2111641,2229946,1695286,1751541,251852,292117,23477,24339,109387,126327,4252,4528,27387,31094,1718140,1777096,259292,301828,37255,40328,119148,136815,7605,8201,1825266,1935862,1437743,1488486,240376,279018,14826,16210,106809,123581,3367,3610,22145,24957,1456031,1508745,245626,286057,25849,29036,115374,132648,6246,6685,286375,294084,257543,263055,11476,13099,8651,8129,2578,2746,885,918,5242,6137,262109,268351,13666,15771,11406,11292,3774,4167,1359,1516
R,2,2020,58,4317461,2095281,2222180,1699994,1762325,243841,286080,22825,24022,97356,115209,4165,4241,27100,30303,1722576,1787160,251080,295546,36805,39965,106933,125267,7451,7802,1826133,1945417,1457967,1514720,233117,273839,14754,16385,95032,112610,3359,3390,21904,24473,1476032,1534553,238254,280733,25942,29339,103398,121314,6149,6369,269148,276763,242027,247605,10724,12241,8071,7637,2324,2599,806,851,5196,5830,246544,252607,12826,14813,10863,10626,3535,3953,1302,1433
R,2,2020,59,4392045,2124748,2267297,1719891,1794227,249852,293027,22795,24141,101111,121579,4108,4349,26991,29974,1742461,1818790,256936,302064,36832,40013,110555,131618,7343,7892,1858378,1990624,1480440,1546113,239258,280850,14688,16726,98710,118949,3310,3528,21972,24458,1498603,1565923,244351,287563,26006,29693,107047,127667,6037,6541,266370,276673,239451,248114,10594,12177,8107,7415,2401,2630,798,821,5019,5516,243858,252867,12585,14501,10826,10320,3508,3951,1306,1351
R,2,2020,60,4353392,2108446,2244946,1711046,1780032,245934,289670,22179,23522,98980,118511,4068,4078,26239,29133,1732958,1803921,252733,298591,35863,39118,108313,128021,7195,7483,1854251,1981435,1482540,1544249,235730,277791,14561,16335,96723,116024,3274,3317,21423,23719,1500292,1563446,240590,284399,25652,29104,104919,124284,5913,6198,254195,263511,228506,235783,10204,11879,7618,7187,2257,2487,794,761,4816,5414,232666,240475,12143,14192,10211,10014,3394,3737,1282,1285
R,2,2020,61,4180500,2010922,2169578,1636952,1726202,231165,274816,20161,22065,94575,115238,3659,3863,24410,27394,1657287,1748679,237504,282974,33255,37050,102948,124137,6453,6935,1783203,1926568,1432496,1508560,221675,263817,13498,15499,92526,112983,2972,3177,20036,22532,1449036,1526875,226225,269873,24236,27926,99920,120746,5346,5808,227719,243010,204456,217642,9490,10999,6663,6566,2049,2255,687,686,4374,4862,208251,221804,11279,13101,9019,9124,3028,3391,1107,1127
R,2,2020,62,4189493,2009412,2180081,1642325,1743316,225706,270701,20152,21721,93524,113749,3548,3751,24157,26843,1662346,1765286,231991,278747,33208,36679,101805,122191,6359,6786,1788963,1942493,1444257,1530110,216759,260137,13495,15439,91576,111710,2911,3047,19965,22050,1460646,1547942,221352,266112,24280,27850,98945,119069,5303,5642,220449,237588,198068,213206,8947,10564,6657,6282,1948,2039,637,704,4192,4793,201700,217344,10639,12635,8928,8829,2860,3122,1056,1144
R,2,2020,63,4057000,1935765,2121235,1584969,1694954,215073,264396,18969,20827,90724,111628,3346,3492,22684,25938,1603874,1716299,220980,272105,31435,35556,98273,119575,5938,6416,1729642,1895818,1399942,1493012,206562,254165,12744,14870,88902,109519,2722,2909,18770,21343,1415436,1510366,210841,259859,23062,27172,95623,116435,4959,5400,206123,225417,185027,201942,8511,10231,6225,5957,1822,2109,624,583,3914,4595,188438,205933,10139,12246,8373,8384,2650,3140,979,1016
R,2,2020,64,3945549,1875986,2069563,1539713,1658006,204139,252467,18162,20060,89134,110962,3119,3463,21719,24605,1557793,1678075,209710,259800,30084,33979,96370,118639,5607,6208,1678818,1850928,1362601,1461715,195896,242819,12314,14384,87405,108956,2584,2839,18018,20215,1377453,1478002,199917,248235,22229,25994,93839,115628,4741,5173,197168,218635,177112,196291,8243,9648,5848,5676,1729,2006,535,624,3701,4390,180340,200073,9793,11565,7855,7985,2531,3011,866,1035
R,2,2020,65,3884940,1840731,2044209,1516896,1644802,196026,244645,17125,18947,87077,109068,3032,3292,20575,23455,1533975,1663939,201258,251581,28646,32300,93865,116228,5382,5985,1654986,1835276,1349256,1456178,188477,235806,11945,13914,85484,107229,2524,2737,17300,19412,1363486,1471784,192338,240987,21692,25146,91557,113517,4559,5064,185745,208933,167640,188624,7549,8839,5180,5033,1593,1839,508,555,3275,4043,170489,192155,8920,10594,6954,7154,2308,2711,823,921
R,2,2020,66,3654819,1720371,1934448,1428287,1567213,175588,225088,15594,17365,79326,100177,2659,2968,18917,21637,1444092,1584889,180260,231369,26433,29942,85373,106705,4766,5414,1553932,1744469,1278201,1395679,168676,217033,10937,12762,77959,98524,2213,2478,15946,17993,1291446,1410190,172105,221717,20170,23370,83353,104293,4056,4624,166439,189979,150086,171534,6912,8055,4657,4603,1367,1653,446,490,2971,3644,152646,174699,8155,9652,6263,6572,2020,2412,710,790
R,2,2020,67,3562596,1672024,1890572,1393509,1535578,165253,215460,14486,16563,78647,99893,2671,2893,17458,20185,1407992,1552088,169602,221253,24435,28391,84310,105946,4688,5226,1516922,1710552,1253539,1372761,158824,207825,10229,12244,77326,98300,2280,2437,14724,16985,1265637,1386493,162016,212262,18725,22374,82383,103605,4039,4453,155102,180020,139970,162817,6429,7635,4257,4319,1321,1593,391,456,2734,3200,142355,165595,7586,8991,5710,6017,1927,2341,649,773
R,2,2020,68,3384466,1583973,1800493,1329405,1470218,153083,203372,13375,15329,69474,90183,2334,2634,16302,18757,1342931,1485662,157102,208777,22989,26634,74511,95431,4219,4727,1440085,1634057,1198975,1319823,147406,196167,9620,11374,68306,88746,1983,2229,13795,15718,1210332,1332576,150402,200261,17799,21073,72828,93348,3634,4048,143888,166436,130430,150395,5677,7205,3755,3955,1168,1437,351,405,2507,3039,132599,153086,6700,8516,5190,5561,1683,2083,585,679
R,2,2020,69,3249866,1514502,1735364,1262027,1407005,150058,199397,13007,14810,71408,93741,2349,2508,15653,17903,1275073,1421546,153937,204668,22176,25412,76243,99037,4140,4586,1375594,1571329,1136290,1258644,144377,192390,9424,10897,70244,92263,1995,2146,13264,14989,1147248,1270673,147230,196376,17305,19962,74570,96874,3590,3927,138908,164035,125737,148361,5681,7007,3583,3913,1164,1478,354,362,2389,2914,127825,150873,6707,8292,4871,5450,1673,2163,550,659
R,2,2020,70,3185898,1485412,1700486,1243945,1385791,141424,190052,12459,13947,70609,91143,2302,2526,14673,17027,1256140,1399654,145023,195019,21261,24147,74999,95961,4027,4501,1355302,1546205,1125928,1245929,136243,183475,9109,10466,69582,89827,1944,2148,12496,14360,1136246,1257490,138972,187269,16684,19278,73484,94048,3461,3880,130110,154281,118017,139862,5181,6577,3350,3481,1027,1316,358,378,2177,2667,119894,142164,6051,7750,4577,4869,1515,1913,566,621
R,2,2020,71,3069692,1426681,1643011,1203410,1350975,130173,176765,11551,13055,65748,83786,2122,2356,13677,16074,1214758,1364201,133511,181364,19772,22764,69871,88290,3688,4142,1308177,1499958,1095817,1221148,125493,170808,8575,9851,64778,82552,1806,2023,11708,13576,1105458,1232205,128032,174308,15715,18295,68451,86480,3191,3581,118504,143053,107593,129827,4680,5957,2976,3204,970,1234,316,333,1969,2498,109300,131996,5479,7056,4057,4469,1420,1810,497,561
R,2,2020,72,3115716,1445833,1669883,1237287,1395859,121075,165556,10980,12361,61125,78148,1968,2098,13398,15861,1248517,1409019,124324,169982,19232,22139,64917,82470,3488,3836,1332443,1532263,1134184,1270615,116740,159919,8118,9414,60205,77022,1692,1799,11504,13494,1143757,1281693,119210,163340,15333,17927,63565,80832,3052,3340,113390,137620,103103,125244,4335,5637,2862,2947,920,1126,276,299,1894,2367,104760,127326,5114,6642,3899,4212,1352,1638,436,496
R,2,2020,73,2825547,1305731,1519816,1122149,1275726,104828,145550,9943,11241,55001,71196,1754,1821,12056,14282,1132347,1287612,107634,149420,17361,19939,58376,75143,3144,3432,1204440,1393879,1029876,1161088,101000,140354,7435,8625,54269,70122,1503,1552,10357,12138,1038602,1171087,103132,143328,13944,16175,57251,73610,2718,2980,101291,125937,92273,114638,3828,5196,2508,2616,732,1074,251,269,1699,2144,93745,116525,4502,6092,3417,3764,1125,1533,426,452
R,2,2020,74,2252709,1031515,1221194,874832,1011110,89152,126381,8050,9374,48213,60943,1578,1715,9690,11671,882898,1020754,91460,129566,13804,16264,51137,64335,2799,3106,941251,1106595,792491,906618,85711,121672,5893,6995,47516,60037,1369,1475,8271,9798,799320,914632,87442,124058,10886,12896,50115,63000,2437,2708,90264,114599,82341,104492,3441,4709,2157,2379,697,906,209,240,1419,1873,83578,106122,4018,5508,2918,3368,1022,1335,362,398
R,2,2020,75,2216714,1007527,1209187,859211,1005870,84292,122147,7585,9004,45732,59073,1388,1601,9319,11492,867056,1015388,86489,125349,13141,15859,48447,62332,2571,2988,924676,1102093,783515,908014,81177,117946,5667,6778,45099,58210,1201,1377,8017,9768,790207,916036,82839,120383,10553,12746,47521,61075,2264,2615,82851,107094,75696,97856,3115,4201,1918,2226,633,863,187,224,1302,1724,76849,99352,3650,4966,2588,3113,926,1257,307,373
R,2,2020,76,2171952,980492,1191460,845021,1004735,77583,114296,6880,8383,41278,51890,1261,1327,8469,10829,852188,1013772,79427,117234,12107,14950,43658,54824,2336,2611,905903,1092134,776787,913847,74733,110438,5209,6414,40702,51120,1107,1152,7365,9163,783006,921429,76155,112657,9844,12127,42819,53681,2060,2294,74589,99326,68234,90888,2850,3858,1671,1969,576,770,154,175,1104,1666,69182,92343,3272,4577,2263,2823,839,1143,276,317
R,2,2020,77,2083092,934174,1148918,806611,970547,72408,108961,6382,7749,39803,50429,1082,1295,7888,9937,813252,978827,74263,111638,11270,13876,41964,53095,1995,2403,865686,1054509,743912,884232,69741,105147,4940,5864,39301,49715,942,1093,6850,8458,749668,891240,71164,107171,9300,11237,41214,52048,1741,2079,68488,94409,62699,86315,2667,3814,1442,1885,502,714,140,202,1038,1479,63584,87587,3099,4467,1970,2639,750,1047,254,324
R,2,2020,78,1788310,793138,995172,681986,836651,62411,96335,5631,6748,35240,45518,979,1108,6891,8812,687750,843990,64007,98695,9808,12121,37239,47939,1805,2096,732183,912312,626181,760516,60085,93229,4320,5196,34782,44885,857,929,5958,7557,631141,766771,61298,95047,8021,9914,36556,47005,1592,1807,60955,82860,55805,76135,2326,3106,1311,1552,458,633,122,179,933,1255,56609,77219,2709,3648,1787,2207,683,934,213,289
R,2,2020,79,1633365,715475,917890,612058,768824,57032,90284,5091,6334,34071,43431,918,1055,6305,7962,617349,775430,58438,92440,8879,11092,35988,45707,1689,1990,657900,837813,559241,695285,54859,87160,3885,4884,33648,42827,806,887,5461,6770,563809,700854,55921,88801,7225,9024,35353,44828,1491,1713,57575,80077,52817,73539,2173,3124,1206,1450,423,604,112,168,844,1192,53540,74576,2517,3639,1654,2068,635,879,198,277
R,2,2020,80,1501188,653399,847789,558718,709271,52274,84056,4498,5757,31377,40051,824,1067,5708,7587,563539,715580,53563,86108,7837,10275,33123,42188,1517,1978,600395,773327,510139,640936,50217,81134,3422,4424,30965,39489,710,882,4942,6462,514288,646285,51197,82679,6366,8371,32533,41367,1332,1678,53004,74462,48579,68335,2057,2922,1076,1333,412,562,114,185,766,1125,49251,69295,2366,3429,1471,1904,590,821,185,300
R,2,2020,81,1405089,605894,799195,521490,674277,46420,76161,4075,5285,28173,35897,694,911,5042,6664,525754,679843,47566,77925,7127,9255,29665,37800,1267,1689,557955,730139,477425,610842,44621,73443,3131,4051,27832,35403,589,759,4357,5641,481085,615522,45484,74770,5819,7496,29162,37063,1107,1428,47939,69056,44065,63435,1799,2718,944,1234,341,494,105,152,685,1023,44669,64321,2082,3155,1308,1759,503,737,160,261
R,2,2020,82,1281840,545191,736649,468438,619794,42026,71050,3607,4824,25858,34051,656,871,4606,6059,472357,624850,43115,72712,6331,8334,27235,35780,1181,1606,501484,673111,428233,561475,40424,68530,2749,3700,25550,33576,554,719,3974,5111,431601,565701,41242,69776,5152,6751,26778,35087,1010,1363,43707,63538,40205,58319,1602,2520,858,1124,308,475,102,152,632,948,40756,59149,1873,2936,1179,1583,457,693,171,243
R,2,2020,83,1159891,484758,675133,417330,569555,36616,64264,3124,4297,23084,30808,564,733,4040,5476,420758,574111,37521,65759,5451,7488,24368,32390,1040,1373,445085,616291,380728,515321,35109,62021,2415,3265,22824,30377,490,627,3519,4680,383696,519184,35786,63166,4484,6051,23988,31782,919,1195,39673,58842,36602,54234,1507,2243,709,1032,260,431,74,106,521,796,37062,54927,1735,2593,967,1437,380,608,121,178
R,2,2020,84,1070983,439672,631311,378472,531615,33779,60972,2793,4015,20552,28858,513,674,3563,5177,381453,535918,34597,62360,4847,7023,21660,30359,974,1260,403449,576465,345055,481101,32414,58897,2140,3046,20310,28453,449,561,3081,4407,347625,484736,33029,59959,3957,5665,21298,29767,855,1081,36223,54846,33417,50514,1365,2075,653,969,242,405,64,113,482,770,33828,51182,1568,2401,890,1358,362,592,119,179
