UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2020,9,4109674,2099641,2010033,1518815,1449726,314100,304963,32517,31599,108424,103562,5840,5523,119945,114660,1629192,1555157,377914,366437,57463,55675,152505,145231,14544,13715,1547434,1477729,1040649,988939,287031,278251,17708,17343,103034,98547,4045,3860,94967,90789,1128394,1072724,338281,327599,33853,32989,139635,133220,10416,9870,552207,532304,478166,460787,27069,26712,14809,14256,5390,5015,1795,1663,24978,23871,500798,482433,39633,38838,23610,22686,12870,12011,4128,3845
R,1,2020,10,4041359,2061870,1979489,1480598,1414824,311065,303043,33136,32036,112171,108133,6205,6069,118695,115384,1589772,1520801,374819,365715,57143,55408,155902,150089,14615,14283,1527168,1463861,1023476,974411,281746,274499,17440,16945,106125,102264,4188,4052,94193,91690,1110563,1059003,333160,325008,32946,32142,142372,137173,10367,10075,534702,515628,457122,440413,29319,28544,15696,15091,6046,5869,2017,2017,24502,23694,479209,461798,41659,40707,24197,23266,13530,12916,4248,4208
R,1,2020,11,4148546,2117423,2031123,1524241,1455049,322306,313970,33634,32271,113058,109241,6380,6223,117804,114369,1632380,1560081,385726,376315,57600,55365,155899,150330,14895,14310,1570834,1506212,1055513,1005098,292344,285318,17720,17209,107023,103428,4314,4184,93920,90975,1142018,1089072,343797,335904,33305,32016,142807,137645,10580,10079,546589,524911,468728,449951,29962,28652,15914,15062,6035,5813,2066,2039,23884,23394,490362,471009,41929,40411,24295,23349,13092,12685,4315,4231
R,1,2020,12,4198791,2143609,2055182,1548879,1478636,323022,314823,34401,33432,115385,110489,6427,6219,115495,111583,1654777,1580876,384904,375396,58324,56490,157520,150663,14835,14199,1589622,1523094,1072708,1021328,293406,286374,17877,17765,109388,104880,4343,4156,91900,88591,1157370,1102781,343513,335349,33393,32637,144470,138284,10571,10017,553987,532088,476171,457308,29616,28449,16524,15667,5997,5609,2084,2063,23595,22992,497407,478095,41391,40047,24931,23853,13050,12379,4264,4182
R,1,2020,13,4198294,2144616,2053678,1556365,1485182,322010,312337,34759,32918,113080,108971,6272,6117,112130,108153,1659145,1584284,381419,370398,58245,55574,154365,147936,14510,13938,1594776,1525330,1082687,1030014,293178,284313,18102,17476,107129,103381,4288,4097,89392,86049,1164967,1109155,341403,331601,33373,32132,141583,135832,10340,9838,549840,528348,473678,455168,28832,28024,16657,15442,5951,5590,1984,2020,22738,22104,494178,475129,40016,38797,24872,23442,12782,12104,4170,4100
R,1,2020,14,4168211,2129314,2038897,1556183,1479403,313246,306038,34033,33022,112809,111222,6275,6204,106768,103008,1653934,1573606,369154,360467,56978,54953,152246,149121,14038,13596,1590382,1522896,1090399,1033326,285521,279252,17980,17687,107202,105955,4219,4258,85061,82418,1168573,1108930,330941,323640,32880,31935,140263,137792,9947,9775,538932,516001,465784,446077,27725,26786,16053,15335,5607,5267,2056,1946,21707,20590,485361,464676,38213,36827,24098,23018,11983,11329,4091,3821
R,1,2020,15,4173748,2128873,2044875,1559633,1488085,311564,303234,33542,32279,115086,114895,6264,5955,102784,100427,1653638,1579794,364777,355612,56053,54240,153314,151797,13780,13277,1601298,1537218,1102260,1048272,284720,277356,18064,17166,109476,109616,4379,4184,82399,80624,1177955,1122122,328035,320218,32960,31709,141627,140757,9973,9656,527575,507657,457373,439813,26844,25878,15478,15113,5610,5279,1885,1771,20385,19803,475683,457672,36742,35394,23093,22531,11687,11040,3807,3621
R,1,2020,16,4167723,2125297,2042426,1564192,1492005,308782,301044,32501,31937,114827,115190,6065,5735,98930,96515,1654582,1580214,359385,350751,54779,53611,151574,150887,13428,12844,1608732,1543443,1115649,1058868,282702,276001,17562,17105,109434,110000,4229,4029,79156,77440,1188227,1129926,323960,316655,32288,31589,140342,139948,9744,9352,516565,498983,448543,433137,26080,25043,14939,14832,5393,5190,1836,1706,19774,19075,466355,450288,35425,34096,22491,22022,11232,10939,3684,3492
R,1,2020,17,4162963,2122481,2040482,1560797,1489455,312316,305349,32941,31790,115576,115572,6033,5800,94818,92516,1647181,1573701,360574,352817,54881,53258,150604,149471,13269,12670,1609252,1545094,1114560,1058222,286411,280737,17766,17242,110209,110617,4251,4064,76055,74212,1184066,1126095,325861,319534,32360,31573,139687,139127,9708,9238,513229,495388,446237,431233,25905,24612,15175,14548,5367,4955,1782,1736,18763,18304,463115,447606,34713,33283,22521,21685,10917,10344,3561,3432
R,1,2020,18,4200489,2143469,2057020,1575576,1502199,319823,311358,32796,31384,116061,115157,5888,5724,93325,91198,1660510,1585216,367353,358169,54940,53229,150171,148059,12929,12571,1632602,1565705,1130775,1074081,294077,286893,17922,17308,111024,110232,4146,3983,74658,73208,1198898,1140976,332820,325258,32726,31991,139726,137944,9483,9160,510867,491315,444801,428118,25746,24465,14874,14076,5037,4925,1742,1741,18667,17990,461612,444240,34533,32911,22214,21238,10445,10115,3446,3411
